title,platform,genre,publisher,vg_score,critic_score,user_score,total_shipped,aisan_sales,north_american_sales,japan_sales,european_sales,global_sales,Production Cost,release_year,Developer_metacritic_game_info,Genre_metacritic_game_info,Metascore_metacritic_game_info,Avg_Userscore_metacritic_game_info,No. of players_metacritic_game_info,releasedate_VGOutput,releasedate_raw,releasedate_quarter,releasedate_link,releasedate_1986-2023,Userscore,component_0,component_1,component_2,component_3,component_4,component_5,component_6,component_7,component_8,component_9,component_10,component_11,component_12,component_13,component_14,component_15,component_16,component_17,component_18,component_19,component_20,component_21,component_22,component_23,component_24,component_25,component_26,component_27,component_28,component_29,component_30,component_31,component_32,component_33,component_34,component_35,component_36,component_37,component_38,component_39,component_40,component_41,component_42,component_43,component_44,component_45,component_46,component_47,component_48,component_49,component_50,component_51,component_52,component_53,component_54,component_55,component_56,component_57,component_58,component_59,component_60,component_61,component_62,component_63,component_64,component_65,component_66,component_67,component_68,component_69,component_70,component_71,component_72,component_73,component_74,component_75,component_76,component_77,component_78,component_79,component_80,component_81,component_82,component_83,component_84,component_85,component_86,component_87,component_88,component_89,component_90,component_91,component_92,component_93,component_94,component_95,component_96,component_97,component_98,component_99
Aces of the Galaxy,PC,Shooter,Sony Computer Entertainment,1.0,7.5,9.0,159.0,5.58,7.58,1.13,4.85,19.14,3.4,2008,,,,,,,,00:00:00,https://www.google.com/search?q=Aces of the Galaxy PC release date,2008-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aces of War,PS2,Simulation,Electronic Arts,1.0,5.0,7.0,263.0,2.07,4.83,2.45,4.09,13.44,5.03,2007,,,,,,,,00:00:00,https://www.google.com/search?q=Aces of War PS2 release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aconcagua,PS,Adventure,Amazon Game Studios,10.0,9.0,5.0,279.0,7.54,7.44,5.59,2.18,22.75,2.27,2000,,,,,,,,00:00:00,https://www.google.com/search?q=Aconcagua PS release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Action Girlz Racing,PC,Racing,Ubisoft,9.0,8.0,6.0,13.0,5.06,4.84,1.98,5.15,17.03,4.66,2005,,,,,,,,00:00:00,https://www.google.com/search?q=Action Girlz Racing PC release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Action Girlz Racing,PS2,Racing,Frontier Developments,6.0,7.0,1.0,62.0,2.13,1.98,5.94,5.88,15.93,1.91,2005,,,,,,,,00:00:00,https://www.google.com/search?q=Action Girlz Racing PS2 release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Active Health with Carol Vorderman,DS,Sports,Sony Computer Entertainment,2.0,2.0,8.0,191.0,3.0,1.96,1.46,0.18,3.78,2.98,2009,,,,,,,,00:00:00,https://www.google.com/search?q=Active Health with Carol Vorderman DS release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams Venture Episode 1 The Search For The Lost Garden,PC,Adventure,Amazon Game Studios,10.0,5.0,5.0,43.0,3.45,2.51,2.57,5.37,13.9,2.65,2009,,,,,,,,00:00:00,https://www.google.com/search?q=Adams Venture Episode 1 The Search For The Lost Garden PC release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Addie no Okurimono To Moze from Addie,PS,Puzzle,Omega,6.0,8.0,8.0,182.0,1.3,4.37,2.56,6.43,14.66,1.86,2000,,,,,,,,00:00:00,https://www.google.com/search?q=Addie no Okurimono To Moze from Addie PS release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADK Tamashii,PS2,Fighting,Ubisoft,2.0,10.0,2.0,116.0,7.44,2.9,5.78,5.42,21.54,3.29,2008,,,,,,,,00:00:00,https://www.google.com/search?q=ADK Tamashii PS2 release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adr1ft,PC,Adventure,Sony Computer Entertainment,8.0,2.0,3.0,25.0,4.22,4.18,1.68,4.35,14.43,1.81,2016,,,,,,,,00:00:00,https://www.google.com/search?q=Adr1ft PC release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Battlegrounds The Future of Combat,PC,Shooter,Frontier Developments,4.0,5.0,8.0,198.0,4.03,4.14,2.51,3.52,14.2,4.07,2004,,,,,,,,00:00:00,https://www.google.com/search?q=Advanced Battlegrounds The Future of Combat PC release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adventure Time Explore the Dungeon Because I Dont Know ,PC,Board Game,Amazon Game Studios,7.0,5.0,8.0,230.0,7.85,2.6,1.61,3.07,15.13,2.17,2014,,,,,,,,00:00:00,https://www.google.com/search?q=Adventure Time Explore the Dungeon Because I Dont Know  PC release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adventure Time Explore the Dungeon Because I Dont Know ,PS3,Board Game,IBM,6.0,8.0,3.0,9.0,3.0,0.02,3.11,0.02,3.2,7.35,2013,,,,,,,,00:00:00,https://www.google.com/search?q=Adventure Time Explore the Dungeon Because I Dont Know  PS3 release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adventure Time Pirates of the Enchiridion,PS4,Adventure,Omega,7.0,3.0,4.0,75.0,3.0,0.01,4.79,1.03,5.85,2.16,2018,,,,,,,,00:00:00,https://www.google.com/search?q=Adventure Time Pirates of the Enchiridion PS4 release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adventures in Odyssey 3D CD ROM Interactive Game,PC,Puzzle,Omega,6.0,2.0,2.0,276.0,6.55,1.44,2.12,4.16,14.27,0.02,2014,,,,,,,,00:00:00,https://www.google.com/search?q=Adventures in Odyssey 3D CD ROM Interactive Game PC release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adventurezator When Pigs Fly,PC,Adventure,Frontier Developments,10.0,4.0,6.0,103.0,5.91,3.12,2.01,6.02,17.06,4.46,2015,,,,,,,,00:00:00,https://www.google.com/search?q=Adventurezator When Pigs Fly PC release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerial Strike Low Altitude  High Stakes,PC,Simulation,Activision,4.0,7.0,5.0,224.0,3.61,4.53,2.14,4.91,15.19,1.4,2005,,,,,,,,00:00:00,https://www.google.com/search?q=Aerial Strike Low Altitude  High Stakes PC release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerial Strike The Yager Missions,PC,Shooter,Frontier Developments,8.0,8.0,4.0,50.0,3.75,2.27,2.72,6.44,15.18,3.23,2005,,,,,,,,00:00:00,https://www.google.com/search?q=Aerial Strike The Yager Missions PC release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aero Elite Combat Academy,PS2,Simulation,Omega,2.0,7.0,5.0,242.0,3.0,0.04,5.44,0.03,5.58,4.93,2003,,,,,,,,00:00:00,https://www.google.com/search?q=Aero Elite Combat Academy PS2 release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFL Challenge,PS,Sports,Electronic Arts,8.0,3.0,8.0,162.0,3.06,4.55,5.6,3.41,16.62,5.02,2010,,,,,,,,00:00:00,https://www.google.com/search?q=AFL Challenge PS release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFL Live 2003,PC,Sports,Electronic Arts,4.0,8.0,6.0,21.0,5.63,2.56,3.75,6.2,18.14,1.26,2002,,,,,,,,00:00:00,https://www.google.com/search?q=AFL Live 2003 PC release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFL Live 2003,PS2,Sports,Amazon Game Studios,5.0,2.0,5.0,265.0,2.74,3.19,4.81,5.61,16.35,4.7,2002,,,,,,,,00:00:00,https://www.google.com/search?q=AFL Live 2003 PS2 release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFL Live 2004,PS2,Sports,Omega,4.0,4.0,4.0,207.0,6.02,1.15,4.02,5.85,17.04,1.22,2003,,,,,,,,00:00:00,https://www.google.com/search?q=AFL Live 2004 PS2 release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFL Live Premiership Edition,PS2,Sports,Electronic Arts,7.0,2.0,10.0,147.0,5.59,2.34,2.69,6.0,16.62,1.76,2004,,,,,,,,00:00:00,https://www.google.com/search?q=AFL Live Premiership Edition PS2 release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFL Live Premiership Edition,PC,Sports,Activision,1.0,6.0,3.0,26.0,3.34,3.63,2.8,1.16,10.93,1.49,2004,,,,,,,,00:00:00,https://www.google.com/search?q=AFL Live Premiership Edition PC release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afrika,PS3,Adventure,Omega,7.0,6.0,8.0,71.0,3.0,0.12,0.08,1.58,2.0,5.41,2009,,,,,,,,00:00:00,https://www.google.com/search?q=Afrika PS3 release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
After Hours Athletes,PS3,Sports,Activision,7.0,4.0,1.0,217.0,3.0,6.19,1.8,0.1,8.21,3.33,2011,,,,,,,,00:00:00,https://www.google.com/search?q=After Hours Athletes PS3 release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agassi Tennis Generation,PS2,Sports,Electronic Arts,8.0,4.0,1.0,187.0,3.0,0.04,3.97,0.03,4.13,1.56,2003,,,,,,,,00:00:00,https://www.google.com/search?q=Agassi Tennis Generation PS2 release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agatha Christie And Then There Were None,PC,Adventure,Ubisoft,3.0,5.0,4.0,219.0,3.89,4.44,4.06,2.64,15.03,5.3,2005,,,,,,,,00:00:00,https://www.google.com/search?q=Agatha Christie And Then There Were None PC release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agatha Christie Death on the Nile,PC,Adventure,Ubisoft,1.0,6.0,4.0,51.0,3.0,4.19,5.59,0.01,9.81,6.02,2008,,,,,,,,00:00:00,https://www.google.com/search?q=Agatha Christie Death on the Nile PC release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agatha Christie Double Murder Mystery Pack,PC,Adventure,Omega,1.0,5.0,4.0,146.0,3.04,7.33,4.3,1.97,16.64,2.56,2007,,,,,,,,00:00:00,https://www.google.com/search?q=Agatha Christie Double Murder Mystery Pack PC release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agatha Christie Evil Under the Sun,PC,Adventure,Electronic Arts,8.0,1.0,8.0,109.0,5.35,2.17,3.18,6.42,17.12,2.28,2007,,,,,,,,00:00:00,https://www.google.com/search?q=Agatha Christie Evil Under the Sun PC release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agatha Christie Murder on the Orient Express,PC,Adventure,Activision,4.0,6.0,10.0,182.0,1.21,7.46,4.4,6.7,19.77,5.05,2006,,,,,,,,00:00:00,https://www.google.com/search?q=Agatha Christie Murder on the Orient Express PC release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agatha Christie Peril at End House,PC,Adventure,Electronic Arts,9.0,5.0,1.0,162.0,3.0,1.55,4.47,0.01,6.04,2.27,2009,,,,,,,,00:00:00,https://www.google.com/search?q=Agatha Christie Peril at End House PC release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agatha Christie The ABC Murders,PS4,Adventure,Sony Computer Entertainment,6.0,8.0,8.0,1.0,3.19,2.33,2.7,4.79,13.01,6.99,2016,,,,,,,,00:00:00,https://www.google.com/search?q=Agatha Christie The ABC Murders PS4 release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agatha Christie The ABC Murders,PC,Adventure,Frontier Developments,6.0,2.0,2.0,113.0,3.0,1.32,4.13,0.02,5.49,6.35,2016,,,,,,,,00:00:00,https://www.google.com/search?q=Agatha Christie The ABC Murders PC release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agatha Christie The ABC Murders,DS,Adventure,Activision,2.0,6.0,6.0,130.0,3.0,0.08,4.4,0.01,4.59,6.84,2009,,,,,,,,00:00:00,https://www.google.com/search?q=Agatha Christie The ABC Murders DS release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agatha Christie Mysteries,PC,Adventure,Sony Computer Entertainment,3.0,9.0,3.0,53.0,6.36,3.88,4.32,6.43,20.99,2.28,2008,,,,,,,,00:00:00,https://www.google.com/search?q=Agatha Christie Mysteries PC release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agatha Christies The ABC Murders,PC,Adventure,Sony Computer Entertainment,7.0,6.0,5.0,56.0,4.24,1.68,4.83,6.98,17.73,2.06,2016,,,,,,,,00:00:00,https://www.google.com/search?q=Agatha Christies The ABC Murders PC release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aggressive Inline,PS2,Sports,Activision,6.0,8.7,10.0,117.0,3.0,0.17,3.56,0.13,4.21,3.21,2002,"Z-Axis,Ltd.",Sports;Alternative;Skating,85.0,8.7,1 to 2,,May 28 2002,2002-05-28 00:00:00,https://www.google.com/search?q=Aggressive Inline PS2 release date,,9.555555555555555,0.15552693813107257,-0.026644941017585157,0.004402779111315098,-0.03524378031701769,-0.03100511062431327,-0.022144322386911094,-0.0016303850681066965,0.01897109081928231,0.009716622161863314,-0.016695472010872278,0.02453435547775223,-0.019602816976479413,0.007965266586571073,-0.028696152159357377,-0.011391144205393076,-0.0017458997006865595,0.025418157767108134,-0.005535933157978495,-0.06151079826563129,-0.041682841149029856,-0.01633823379317451,-0.028777795520239062,0.011730146299496232,0.02415681880204016,-0.049736585749606335,0.015873149955007906,0.04522179809300773,0.019223319603294802,0.008484132290195458,0.043669659117528015,0.02342397913126135,0.03700815642529326,-0.028867908850425426,0.013503212243461925,0.07948116146159195,0.05795382649744797,0.04152589944995703,-0.026695505803370143,0.020562347769131135,-0.02078902122676252,0.025221800182199196,-0.005408655440314415,0.002249371939813435,0.04004543140911381,0.012726487373563041,-0.00817566329902478,0.007585071522488485,0.00937618981469237,-0.038963724994444435,-0.020979505726692937,-0.0189577934614613,0.0065564241640887495,-0.002587034362969805,0.0011050888505605763,-0.007293174882098543,0.005997255937390836,0.006769946889408606,-0.02889936104734833,-0.009677773412573155,-0.018112959662658426,-0.0034994793970813537,0.015053640471042379,-0.006142809442232607,-0.0008060370988730056,-0.00931004386483939,-0.010460704873758282,0.008353668486637416,-0.0046385822162179945,0.016124741011725334,0.005257774552205432,0.011904740339880092,0.010133698766709684,0.023902522723967964,0.016592873612655865,0.002273851412825919,0.014062861940486608,0.022549834408003643,0.0065440246670142015,-0.009228374755015003,-0.001993658410203813,-0.013236691249146199,0.008874706822064319,0.0008198817001007705,-0.009109050471679253,-0.0005332534229165989,-0.00039596979062945934,0.010416731644546845,-0.0009423665990493781,0.006625556626450295,0.013297773068071813,0.009819756844246345,0.01609433358242673,-0.008715117632023043,0.008786569256059647,-0.0031614399718976217,0.0051692429420499295,-0.004365474089008031,0.006504423391461241,-0.004526635562802788,0.004479104676111532
AGON Lost Sword of Toledo,PC,Adventure,Activision,9.0,7.0,9.0,210.0,6.91,4.1,4.98,5.77,21.76,5.22,2008,,,,,,,,00:00:00,https://www.google.com/search?q=AGON Lost Sword of Toledo PC release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI The Somnium Files,PS4,Adventure,Ubisoft,7.0,7.0,2.0,176.0,6.83,1.27,2.9,2.64,13.64,3.46,2019,,,,,,,,00:00:00,https://www.google.com/search?q=AI The Somnium Files PS4 release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aibou DS,DS,Adventure,Omega,3.0,4.0,9.0,182.0,3.0,3.73,0.08,6.32,10.21,3.68,2009,,,,,,,,00:00:00,https://www.google.com/search?q=Aibou DS DS release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aikagi,PS2,Adventure,Ubisoft,1.0,7.0,2.0,221.0,5.49,4.88,4.64,2.79,17.8,7.7,2003,,,,,,,,00:00:00,https://www.google.com/search?q=Aikagi PS2 release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aikagi,PC,Adventure,Electronic Arts,5.0,4.0,2.0,50.0,2.68,2.34,1.63,1.17,7.82,1.9,2002,,,,,,,,00:00:00,https://www.google.com/search?q=Aikagi PC release date,2021-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aikagi 2,PC,Adventure,Activision,5.0,8.0,6.0,284.0,7.42,3.33,5.23,1.17,17.15,2.82,2006,,,,,,,,00:00:00,https://www.google.com/search?q=Aikagi 2 PC release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIR,PC,Adventure,Activision,9.0,1.0,8.0,252.0,5.85,2.66,2.71,5.59,16.81,1.06,2000,,,,,,,,00:00:00,https://www.google.com/search?q=AIR PC release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIR,PS2,Adventure,Frontier Developments,4.0,4.0,3.0,182.0,3.89,3.41,5.01,3.14,15.45,3.15,2002,,,,,,,,00:00:00,https://www.google.com/search?q=AIR PS2 release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIR,PS,Adventure,Frontier Developments,6.0,2.0,6.0,235.0,4.11,2.18,5.29,3.83,15.41,5.19,2010,,,,,,,,00:00:00,https://www.google.com/search?q=AIR PS release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Battles Sky Defender,PC,Simulation,Frontier Developments,7.0,4.0,4.0,44.0,5.98,4.3,2.78,4.99,18.05,2.69,2007,,,,,,,,00:00:00,https://www.google.com/search?q=Air Battles Sky Defender PC release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Conflicts Pacific Carriers,PS4,Simulation,Sony Computer Entertainment,8.0,1.0,10.0,111.0,7.18,4.88,5.53,1.64,19.23,0.03,2015,,,,,,,,00:00:00,https://www.google.com/search?q=Air Conflicts Pacific Carriers PS4 release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Conflicts Secret Wars,PS3,Simulation,Ubisoft,9.0,4.0,10.0,228.0,3.0,0.1,3.07,0.06,3.42,0.03,2011,,,,,,,,00:00:00,https://www.google.com/search?q=Air Conflicts Secret Wars PS3 release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Hockey,PS,Sports,Electronic Arts,5.0,9.0,5.0,263.0,4.72,2.43,1.42,2.42,10.99,4.05,2003,,,,,,,,00:00:00,https://www.google.com/search?q=Air Hockey PS release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Offensive Art of Flying,PC,Simulation,IBM,4.0,5.0,5.0,266.0,6.93,5.88,5.65,2.5,20.96,4.92,2003,,,,,,,,00:00:00,https://www.google.com/search?q=Air Offensive Art of Flying PC release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Raid 3,PS2,Shooter,Amazon Game Studios,8.0,9.0,4.0,50.0,5.21,1.9,1.72,6.1,14.93,1.83,2007,,,,,,,,00:00:00,https://www.google.com/search?q=Air Raid 3 PS2 release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Ranger Rescue Helicopter,PS2,Simulation,Amazon Game Studios,6.0,2.0,8.0,41.0,5.58,2.45,2.4,1.82,12.25,1.47,2002,,,,,,,,00:00:00,https://www.google.com/search?q=Air Ranger Rescue Helicopter PS2 release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Ranger 2 Rescue Helicopter,PS2,Simulation,Activision,3.0,10.0,5.0,188.0,3.23,4.66,6.0,5.47,19.36,2.02,2002,,,,,,,,00:00:00,https://www.google.com/search?q=Air Ranger 2 Rescue Helicopter PS2 release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
