name,platform,platform1,user_rating,critic_rating,release_date,summary,description,metacritic
Perfect Dark,Nintendo 64,#N/A,8.8,97,"May 22, 2000","Step into the Dark... As Carrington Institute's most promising new Agent, Joanna Dark must uncover the truth behind the dataDyne Corporation's recent technological breakthroughs - breakthroughs which could have serious consequences for mankind.","<p>(Online Interactions Not Rated by the ESRB) Buy the full version of Perfect Dark to unlock the classic package in its entirety. Experience every twist of the story, every stray bullet, every gadget and upgrade, every newly polished texture – and top it all off with full access to multiplayer modes now playable across the globe through Xbox LIVE. There are no refunds for this item. For more information, see www.xbox.com/live/accounts.</p>",97
NFL 2K1,Dreamcast,0,6.3,97,"September 7, 2000","In the end, NFL 2K1 is a deeper, more refined version of the original game.","<p>
      Madden NFL 11 reenergizes the game of football with a fun, exhilarating 
      experience that ignites the passion of any NFL fan. A revamped Franchise 
      mode puts you at the helm of your favorite NFL team, giving you the 
      power to lead the greatest dynasty of all time in the deepest 
      single-player experience to date. New players can get up to speed 
      quickly utilizing the all-new GameFlow system, where the plays are 
      called for you until you’re ready to go under center. Lead your team to 
      glory with Madden NFL 11, the ultimate NFL experience on Wii.
    </p><p>
      Features
    </p><p>
      • A Completely Re-Mastered Franchise Mode—Four key components—Campus and 
      Perks, Legacy, Assistants, and Scenarios—are the foundation of a 
      redefined Franchise mode. With assistant coaches guiding you through 
      every scenario thrown your way, and a passionate fan base hungry for 
      championships, all eyes are on you in your quest to build one of the 
      greatest legacies in history.<br/>• All-New GameFlow System—Whether 
      you’re a rookie player or a veteran looking for a casual experience, let 
      Madden NFL 11 manage the playbook while you execute the plays to 
      perfection. Play without the interruption until you’re ready to take 
      over playcalling duties when the game matters most.<br/>• Weather-Based 
      Gameplay—The schedule in November and December matters more than ever as 
      weather affects gameplay like never before. Playing on a wet or icy 
      field, or in the mud or snow, players slip, slide, and struggle to 
      maintain footing based on four types of inclement conditions.<br/>• A 
      Deeper Madden NFL Experience—Players can now take the field wearing 
      authentic practice uniforms, including red QB jerseys in 5-on-5 and 
      Practice modes, or suit up with long sleeves and pants when playing 
      cold-weather games. Revamped stadiums and updated gameday uniforms 
      complete the authentic package.<br/>• Crash the NFL Party—Crown a king of 
      the couch in the four-player party mode featuring custom gameplay tweaks 
      and an interactive pick ‘em system, or use the Wii Remote to pick up 
      blocks, trip up wide receivers, and create clear paths to the end zone, 
      all while your teammate runs the plays.
    </p><p>
      As of May 20, 2014, the Nintendo Wi-Fi Connection service for Nintendo 
      DSi and Wii systems has been retired. Online features of this game are 
      no longer available after this date but this game still provides an 
      entertaining experience in offline mode.
    </p><p>
      To learn more about this service change, please visit To learn more 
      about this service change, please visit support.nintendo.com/servicesupdate.
    </p>",
Baldur's Gate II: Shadows of Amn,PC,PC,9.1,95,"September 24, 2000","An epic continuation of the story that began in ""Baldur's Gate,"" this RPG is set along the southern portion of the Sword Coast, a detailed and rich area of the Forgotten Realms called Amn. It features 300 spells and 130-plus monster types compared to only 130 spells and 60 monster types in Baldur's Gate. [Interplay]","<p>Kidnapped. Imprisoned. Tortured. The wizard Irenicus holds you captive in his stronghold, attempting to strip you of the powers that are your birthright.<br />
Can you resist the evil within you, forge a legend of heroic proportions, and ultimately destroy the dark essence that haunts your dreams? Or will you embrace your monstrous nature, carve a swath of destruction across the realms, and ascend to godhood as the new Lord of Murder?<br />
Baldur’s Gate II: Enhanced Edition includes the original Shadows of Amn campaign, as well as the following expansions:<br />
<em> Throne of Bhaal: Travel to Tethyr in this thrilling conclusion to the Bhaalspawn saga, and delve into the treasure-filled halls of Watcher’s Keep!<br />
</em> Fist of the Fallen: Help the Sun Soul Monk Rasaad find peace in his quest for vengeance, and determine the fate of a heretical sect.<br />
<em> The Black Pits II: Gladiators of Thay: Explore the tactical depth of high-level Dungeons &amp; Dragons combat. Turn your captors against each other while you dodge traps and battle for your life against Demi-Liches, Mind Flayers, and the legendary Githyanki.<br />
Baldur&#39;s Gate II: Enhanced Edition also offers the following premium content available for purchase:<br />
</em> A Price Paid in Blood: Join the Blackguard Dorn in carving a swath of destruction across the Realms, as he struggles to appease the increasingly bloody demands of his dark patron.<br />
<em> A Voice in the Dark: Recruit the mysterious Thief Hexxat and take up her mission of retrieving long-lost artifacts from tombs as far away as Zakhara.<br />
</em> In Defense of the Wild: Protect the innocent and stand with Neera the Wild Mage against a ruthless school of Red Wizards.<br />
Note: All translations are text only. Voice-overs are played in English.</p>",95
The Legend of Zelda: Majora's Mask,Nintendo 64,#N/A,9.1,95,"October 25, 2000","Thrown into a parallel world by the mischievous actions of a possessed Skull Kid, Link finds a land in grave danger. The dark power of a relic called Majora's Mask has wreaked havoc on the citizens of Termina, but their most urgent problem is a suicidal moon crashing toward the world. Link has only 72 hours to find a way to stop its descent.","<p>Link must save the world! This time, he finds himself trapped in<br />
Termina, an alternate version of Hyrule that is doomed to destruction in<br />
just three short days. Link must race to recover the Ocarina of Time<br />
(which allows him to manipulate time in multiple ways), defeat<br />
challenging bosses in dungeons spread across Termina, and discover the<br />
key to the mystery of Majora’s Mask. Along the way he’ll obtain new<br />
weapons and items and help other characters (some strangely familiar) in<br />
their everyday lives. In addition, Link must utilize a wide assortment<br />
of masks scattered throughout Termina, each with its own specific use or<br />
power. Never before has three days offered so much in the way of action,<br />
mind-boggling puzzles, and depth—The Legend of Zelda: Majora’s Mask is<br />
an adventure unlike any other!<br />
This classic game is part of the Virtual Console service, which brings you great games created for consoles such as NES™, Super NES™ and Game Boy™ Advance. See more Virtual Console games for Wii.</p>",95
Final Fantasy IX,PlayStation,PS,9,94,"November 13, 2000","The last Final Fantasy for the PlayStation, Final Fantasy IX returns to the pure fantasy roots that spawned the series.  This latest installment features highly detailed characters, vehicles, and environments, and breathtaking cinema-graphics.  The addition of brand new features such as the story-enhancing Active Time Event system and the return of minigames that grant additional gameplay make Final Fantasy IX not only a memorable gaming experience, but also a significant step forward in the series.","<p>Final Fantasy IX (ファイナルファンタジーIX, Fainaru Fantajī Nain) is a 2000 role-playing video game developed and published by Square for the PlayStation video game console. It is the ninth title in the main Final Fantasy series and the last to debut on the original PlayStation. The game plot centers on the consequences of a war between nations in a medieval fantasy world called Gaia. Players follow bandit Zidane Tribal, who kidnaps Alexandrian princess Garnet Til Alexandros XVII as part of a gambit by the neighboring nation of Lindblum. He joins Garnet and a growing cast of characters on a quest to take down her mother, Queen Brahne of Alexandria, who started the war. The plot shifts when the player learns that Brahne is a pawn of a more menacing threat, Kuja, who shares a mysterious history with Zidane spanning two worlds.<br />
The game was developed alongside Final Fantasy VIII. Envisioned by developers as a retrospective for the series, it departed from the futuristic settings of Final Fantasy VII and Final Fantasy VIII by returning to the medieval style of the first six installments. Consequently, it was influenced heavily by the original Final Fantasy game, and features allusions to the rest of the titles. Despite this approach, the game did introduce new features to the series, such as &quot;Active Time Event&quot; cutscenes, &quot;Mognet&quot;, and unique equipment and skill systems.<br />
Final Fantasy IX was released to critical acclaim. It is often cited by critics and fans as one of the best Final Fantasy titles, and holds the highest Metacritic score of the series. Final Fantasy IX was commercially successful, selling more than 5 million copies worldwide by March 2003 and 5.5 million copies by February 2016. It was re-released in 2010 as a PSOne Classic on the PlayStation Store; this version was compatible with PlayStation 3 and PlayStation Portable, and PlayStation Vita support arrived in 2012. In 2016, ports featuring minor gameplay and graphical enhancements were released for iOS, Android and Microsoft Windows followed by a port for PlayStation 4 in 2017.</p>",84
Chrono Cross,PlayStation,PS,8.8,94,"August 15, 2000","Featuring a storyline developed by the creator of Chrono Trigger and Xenogears, Chrono Cross has been christened the ""Best RPG Creation"" by its development team. With multiple scenarios cast along a single story thread, and many different endings, each replay can result in an entirely new adventure. In addition, a brand new battle system makes combat smooth and innovative by introducing an element field system and combo system that gives the player unparalleled flexibility in their fighting options. The elimination of random battles also quickens the pace of the game, and places the choice of where to battle in the player's hands. With character designs by a famed Japanese illustrator and music by the original Chrono Trigger composer, Chrono Cross features visuals and sounds that bring its magic to life.","<p>Chrono Cross (クロノ・クロス, Kurono Kurosu) is a 1999 role-playing video game developed and published by Square for the PlayStation video game console. It is the successor to Chrono Trigger, which was released in 1995 for the Super Nintendo Entertainment System. Chrono Cross was designed primarily by scenarist and director Masato Kato, who had help from other designers who also worked on Chrono Trigger, including art director Yasuyuki Honne and composer Yasunori Mitsuda. Nobuteru Yūki designed the characters of the game.<br />
The story of Chrono Cross focuses on a teenage boy named Serge and a theme of parallel worlds. Faced with an alternate reality in which he died as a child, Serge endeavors to discover the truth of the two worlds&#39; divergence. The flashy thief Kid and many other characters assist him in his travels around the tropical archipelago El Nido. Struggling to uncover his past and find the mysterious Frozen Flame, Serge is chiefly challenged by Lynx, a shadowy antagonist working to apprehend him.<br />
Upon its release in Japan in 1999 and North America in 2000, Chrono Cross received critical acclaim, earning a perfect 10.0 score from GameSpot. The game shipped over 1.5 million copies worldwide, leading to a Greatest Hits re-release and continued life in Japan as part of the Ultimate Hits series. Chrono Cross was later re-released for the PlayStation Network in Japan in July 2011, and in North America four months later.</p>",94
Jet Grind Radio,Dreamcast,0,8.3,94,"October 30, 2000","Join a graffiti crew, stamp your territory and protect it from rival taggers, but watch out for the angry cops!","<p>Jet Grind Radio is a sports-arcade game developed by Smilebit. It was originally released in 2000. It was published by SEGA. Most rawgers rated the game as ""Exceptional"". <br>Jet Grind Radio is available on PC and PlayStation 3. </p>

<p></p>",
Resident Evil Code: Veronica,Dreamcast,0,9.4,94,"February 29, 2000","Resident Evil Code: Veronica takes up the story of Claire Redfield, a character from Resident Evil 2. In that game she was searching for her brother Chris (a missing S.T.A.R.S. member) and in Resident Evil Code: Veronica we follow her to Europe where she continues her search at Umbrella headquarters.","<p>First released on the Sega Dreamcast the game featured fully 3D environments, which was quite revolutionary for the series as it previously relied on static background images. A first re-release of the game was the Kanzenban (完全版) edition for the Dreamcast which was later also the base for later ports of the game. It subsequently got ported onto the PS2 and the Gamecube, renamed to Code Veronica X and re-released again as HD version for the PS3/4 and XBOX 360.</p>
<p>Claire Redfield, known from Resident Evil 2, searching for her lost brother, Chris, gets subsequently captured trying to infiltrate an Umbrella Research Facility, followed by being imprisoned and transported to a remote prison known as Rockford Island.<br />
There she must face the horrors she lived through in Raccoon City again as you guide her through a dark and eerie facility full of zombies and other horrors.<br />
You will solve many puzzles on your way in classic Resident Evil fashion and fight mutations other than zombies with various different tactics as you go from saveroom to saveroom and try not to die.</p>
<p>As a bonus for completing the game you also unlock a fun battle mode.</p>",94
Tony Hawk's Pro Skater 3,PlayStation 2,PS2,7.6,97,"October 28, 2001",Challenge up to four friends in online competitions over a LAN or the Internet.  Take them on in both Trick Attack and Graffiti modes. [Activision],"<p>Tony Hawk's Pro Skater 3 is a sports-arcade game developed by Gearbox Software, Vicarious Visions, Edge of Reality and Neversoft. It came out on 28-10-2001. Activision Value Publishing published the game. Tony Hawk's Pro Skater 3 has a Metascore of 94, based on professional reviews. The game is rated as ""Recommended"" on RAWG. <br>Tony Hawk's Pro Skater 3 is available on PC, Game Boy Advance, PlayStation and Game Boy Color. <br>It was produced by Kevin Mulhall, Nick Falzon, Randy Pitchford and Sam Nouriani. It was directed by Brian Bright, Brian Martel, Dave Wittenberg and Randy Pitchford. <br></p>",94
Grand Theft Auto III,PlayStation 2,PS2,8.4,97,"October 22, 2001","Players are put at the heart of their very own gangster movie, and let loose in a fully-realised 3 dimensional city with a cast of hundreds, 50 plus vehicles, ranging from sports cars to ice cream trucks and from boats to buses, 3 hours of music, including opera, reggae, house, drum and bass, pop and disco, and a huge array of street ready weapons.  [Rockstar Games]","<p>Grand Theft Auto III is an open-world action game, a part of the criminal franchise GTA. As the first in the series 3D game with high-quality textures, GTA III became exemplary in its genre. </p>
<p>The action is located in fictional Liberty City. Its map is divided into three parts – each becomes available gradually, depending on the storyline progress. The player takes control of the character from the third-person view. </p>
<p>The classic feature of GTA III is the ability to interact with the world: explore the map either on foot or by car, contact with other characters, visit weapon stores and shoot everywhere. Although GTA III is another chapter of the franchise, its plot is unique. </p>
<p>The story begins with the dynamic bank robbery. During the heist scene, the main character (silent and unnamed for the whole game) gets betrayed by his accomplice Catalina. By good fortune, the protagonist escapes from imprisonment and starts making both ends meet in Liberty City after being deceived. Therefore, his only wish – also the main idea of the storyline – to take the revenge on the former partner.</p>",93
Halo: Combat Evolved,Xbox,0,8.7,97,"November 14, 2001","Enter the mysterious world of Halo, an alien planet shaped like a ring.  As mankind's super soldier Master Chief, you must uncover the secrets of Halo and fend off the attacking Covenant.  During your missions, you'll battle on foot, in vehicles, inside, and outside with alien and human weaponry.  Your objectives include attacking enemy outposts, raiding underground labs for advanced technology, rescuing fallen comrades, and sniping enemy forces.  Halo also lets you battle three other players via intense split screen combat or fight cooperatively with a friend through the single-player missions.","<p>GAME-PLAY ALERT: This game has been fully tested to successfully play on your Xbox 360 console. However, in some cases, you may see some minor irregularities with audio/video for brief periods. For more details, see www.xbox.com/xboxoriginals. Halo® is a sci-fi shooter that takes place on a mysterious alien ring-world. Packed with combat, Halo will have you battling on foot, in vehicles, inside and outdoors with Alien and Human weaponry. Your objective: to uncover Halo&#39;s horrible secrets and destroy mankind&#39;s sworn enemy, the Covenant. There are no refunds for this item. For more information, see www.xbox.com/live/accounts.</p>",90
Metal Gear Solid 2: Sons of Liberty,PlayStation 2,PS2,8.8,96,"November 12, 2001","Since the incident on Shadow Moses Island, Metal Gear's top-secret technology has been leaked into the black market through the machinations of Revolver Ocelot. As a result, countless variations of Metal Gears have sprung up in every corner of the globe, making the weapon an increasingly common component of the armed forces of nuclear powers. 
In the midst of all of this, Solid Snake, now a member of the anti-Metal Gear group ""Philanthropy,"" has learned that a new prototype Metal Gear has been developed by the U.S. Marines and is being transported in secret to an unknown destination. To learn more about this new machine, Snake must infiltrate the transport, disguised as a tanker, as it makes its way down the Hudson River. Just as Snake is about to begin his mission, however, the ship is seized by a mysterious and well-armed group bent on stealing the new Metal Gear for their own, nefarious purposes. [Konami]","<p>Since the incident on Shadow Moses Island, Metal Gear&#39;s top-secret technology has been leaked into the black market through the machinations of Revolver Ocelot. As a result, countless variations of Metal Gears have sprung up in every corner of the globe, making the weapon an increasingly common component of the armed forces of nuclear powers. <br />
In the midst of all of this, Solid Snake, now a member of the anti-Metal Gear group &quot;Philanthropy,&quot; has learned that a new prototype Metal Gear has been developed by the U.S. Marines and is being transported in secret to an unknown destination. To learn more about this new machine, Snake must infiltrate the transport, disguised as a tanker, as it makes its way down the Hudson River. Just as Snake is about to begin his mission, however, the ship is seized by a mysterious and well-armed group bent on stealing the new Metal Gear for their own, nefarious purposes.</p>",96
Gran Turismo 3: A-Spec,PlayStation 2,PS2,8.5,95,"July 9, 2001","With the addition of two new courses (a downtown Tokyo circuit and the Monte Carlo Grand Prix course), an impressive range of cars (from Vipers to Cooper Minis), and a soundtrack featuring everything from Lenny Kravitz to Jimi Hendrix, this highly anticipated title is finally ready to be driven.","<p>Gran Turismo 3: A-Spec (グランツーリスモ3: A-spec Guran Tsūrisumo Surī A-supekku) is a 2001 racing game, the first in the Gran Turismo series released for the PlayStation 2.</p>
<p>The objective of the game is to win all the provided races, championships, complete license tests and achieve 100% game completion. Every 25% of the game completed results in the player being awarded a car as a special prize. For GT3, the Gran Turismo Mode (Simulation Mode in the North American version) has a reorganized layout, with a more structured and progressive arrangement of races and challenges. Races vary from short beginner events to multi-hour endurance races and also rallying events against an opponent. In addition, the car shops are now organized by country and then by manufacturer, which some find to be more intuitive than the East/West City method used in its predecessor.</p>
<p>The Arcade Mode is reorganized in &quot;stages&quot;; these stages are made up of 5 or 6 tracks pooled from all available tracks in the game, including both road and rally races. To get to the next stage, all tracks on a stage must be completed on Easy difficulty or higher. By beating the stage on Normal or Difficult, additional cars are unlocked as well for play in any mode of Arcade Mode (including two-player battle and time trial).</p>
<p>GT3 features 19 race courses, 14 of which have reverse variants&#39; and 4 of which are dirt tracks. Most of these circuits are at fictional locations, but California&#39;s Laguna Seca Raceway and Côte d’Azur (which is heavily based on the Monaco Grand Prix circuit) are not.</p>
<p>Other changes include the omission of the ability to &quot;race modify&quot; or add downforce to production cars, removal of suspension damage, and the absence of torque limits for races.</p>
<p>New to the franchise, GT3 also contained unlicensed versions of six actual Formula One cars, labelled as F686/M, F687/S, F688/S, F090/S, F094/H and F094/S (in the Japanese and American versions) that the player could win from endurance races. In the Japanese and American versions, the name of each car denotes various pieces of information (such as the amount of cylinders in the engine, the year the chassis was raced, and its driver, respectively). For example, the a forementioned F094/S was the 10-cylinder, 1994-season car driven by Ayrton Senna, whereas the F686/M represented the 6-cylinder, 1986-season car driven by Nigel Mansell. In the PAL release, however, there were only two F1 cars, not obviously based on any real-life counterparts and instead labelled as Polyphony 001 and 002 respectively.</p>
<p>GT3 also marks informal appearances of automakers Lamborghini and Porsche. A racing JGTC Lamborghini Diablo was featured in the NTSC-J version (where the car has been cut from NTSC-U copy and being available in NTSC-U copy with a cheat device), and a Porsche 911 GT3 can be found in the game code (though it cannot be obtained normally, and requires the use of a cheat device). Both cars, together with two hidden Lancia Stratoses (road and rally versions), however, are completely absent in PAL version. Lamborghini would make its first official appearance in 2009&#39;s Gran Turismo (PSP), while Porsche made its first official appearance in Gran Turismo Sport for the PlayStation 4.</p>",
Devil May Cry,PlayStation 2,PS2,8.5,94,"October 16, 2001","In a large American metropolis, a man named Dante, a private investigator of the supernatural, is seeking revenge for the death of his mother and brother. The world is waiting, for Dante is no ordinary man, and with his father's sword in hand, he must enter the demon realm and avenge mankind.  [Capcom]","<p>Debuting in 2001, Devil May Cry® is the game that redefined the action genre with its stylish combo system and over-the-top, non-stop action. Wielding twin handguns and a demonic blade, the iconic white-haired devil hunter Dante slashes through legions of monstrous minions in a battle to save humanity from utter damnation.</p>",84
Madden NFL 2002,PlayStation 2,PS2,7.3,94,"August 19, 2001","The industry football standard returns featuring the Houston Texans, new player face and body technology, the ability to create your own team with custom helmets, uniforms, and stadiums, and a new training mode that let's you learn from Madden, the master himself.","<p>Madden NFL 2002 is a sports game developed by Electronic Arts Tiburon and Budcat Creations. It was originally released in 2001. It was published by Electronic Arts. Most rawgers rated the game as ""Skip"". <br>You can play Madden NFL 2002 on Xbox, PlayStation 2, Game Boy Color and Nintendo 64. </p>

<p></p>",
Mario Kart Super Circuit,Game Boy Advance,#N/A,8,93,"August 26, 2001","Whoever hands out driver's licenses in the Mushroom Kingdom is about to be in some serious trouble.  Classic Mario Kart action is back once again, this time in a colorful, lightning-fast game that you can take anywhere.  Mario, Luigi, Peach, Toad, Wario, Yoshi, and Bowser are all tearing up the track, tossing Koopa Shells and laying banana peels along the way. Mario Kart: Super Circuit puts your driving skills to the test on 40 tracks, each littered with wild weapons and obstacles.  Four players can compete in Mario Kart: Super Circuit using only one Game Pak.  If each player has a copy of the game, bonus features and new modes of play become available.","<p>Mario Kart: Super Circuit, known in Japan as Mario Kart Advance (マリオカートアドバンス, Mario Kāto Adobansu), is a kart racing game developed by Intelligent Systems and published by Nintendo for the Game Boy Advance in 2001. The game is the third installment in the Mario Kart series and the first for handheld consoles, following Mario Kart 64 (1996). It was succeeded by the console game Mario Kart: Double Dash, which was released for the GameCube in 2003. The game retains traditional game elements of Mario Kart set by its predecessors, and upon release, was well received by reviewers.</p>",93
Paper Mario,Nintendo 64,#N/A,9,93,"February 5, 2001","Mario pals around in an all-new action adventure! Mario's back in his first adventure since Super Mario 64, and this time, Bowser's bent on preventing a storybook ending. When Princess Peach is kidnapped, Mario plots to rescue the seven Star Spirits and rid the Mushroom Kingdom of Koopa's cruel cohorts. As he travels from the tropical jungles of Lavalava Island to the frosty heights of Shiver Mountain, he'll meet up with seven all-new companions... and he'll need help from each one or there'll be no happily ever after.","<p>After Bowser™ steals the Star Rod and kidnaps Princess Peach™, Mario™<br />
plots to rescue the seven Star Spirits and free the Mushroom Kingdom<br />
from the Koopa&#39;s rule. As Mario travels from the tropical jungles of<br />
Lavalava Island to the frosty heights of Shiver Mountain, he&#39;ll need all<br />
the help he can get. Master the abilities of the seven Star Spirits and<br />
the other allies joining the adventure to aid our hero on the<br />
battlefield. There are over 50 Badges to locate that, when equipped,<br />
will grant special abilities and powerful attacks. The turn-based battle<br />
system will make fighting Bowser&#39;s baddies equal parts strategy and<br />
timing. Discover over 100 items, mix them together, and cook up<br />
fantastic creations that will send your enemies&#39; spinning and fleeing.<br />
Close the book on Bowser&#39;s story before his evil deeds turn the world<br />
upside down and only his wishes come true!<br />
This classic game is part of the Virtual Console service, which brings you great games created for consoles such as NES™, Super NES™ and Game Boy™ Advance. We hope you&#39;ll enjoy the new features (including off-TV play) that have been added to this title. See more Virtual Console games for Wii U.</p>",93
Metroid Prime,GameCube,0,9,97,"November 17, 2002","Samus returns in a new mission to unravel the mystery behind the ruined walls scattered across Tallon IV. In Metroid Prime, you'll play the role of this bounty hunter and view the world through her visor, which displays information ranging from current energy levels to ammunition. Equipped with a Power Beam and Gravity Suit, you must shoot locked switches, solve puzzles, and eliminate enemies. It's up to you to explore the world and recover more power-ups and weapons, which gradually open more gameplay areas.","<p>Metroid Prime is a first-person action-adventure video game developed by Retro Studios and Nintendo for the GameCube video game console. It was released in North America on November 17, 2002, and in Japan and Europe the following year. Metroid Prime is the fifth main installment in the Metroid series, and the first Metroid game to use 3D computer graphics. Because exploration takes precedence over combat, Nintendo classifies the game as a first-person adventure rather than a first-person shooter. On the same day as its North American release, Nintendo also released the Game Boy Advance game Metroid Fusion, marking the return of the Metroid series after an eight-year hiatus following Super Metroid (1994).<br />
Metroid Prime is the first of the three-part Prime storyline, which takes place between the original Metroid and Metroid II: Return of Samus. Like previous games in the series, Metroid Prime has a science fiction setting in which players control the bounty hunter Samus Aran. The story follows Samus as she battles the Space Pirates and their biological experiments on the planet Tallon IV. The game was a collaboration between Retro&#39;s staff in Austin, Texas, and Japanese Nintendo employees, including producer Shigeru Miyamoto, who suggested the project after visiting Retro&#39;s headquarters in 2000.<br />
The game garnered critical praise and commercial success, selling more than a million units in North America alone. It won a number of Game of the Year awards, and it is considered by many critics and gamers to be one of the greatest video games ever made, remaining one of the highest-rated games on Metacritic. In 2009, an enhanced version was released for the Wii as a standalone game in Japan, and as part of the Metroid Prime Trilogy compilation internationally.</p>",97
Grand Theft Auto: Vice City,PlayStation 2,PS2,8.8,95,"October 27, 2002","[Metacritic's 2002 PS2 Game of the Year ] Welcome to Vice City. Welcome to the 1980s. Having just made it back onto the streets of Liberty City after a long stretch in maximum security, Tommy Vercetti is sent to Vice City by his old boss, Sonny Forelli. They were understandably nervous about his re-appearance in Liberty City, so a trip down south seemed like a good idea. But all does not go smoothly upon his arrival in the glamorous, hedonistic metropolis of Vice City. He's set up and is left with no money and no merchandise. Sonny wants his money back, but the biker gangs, Cuban gangsters, and corrupt politicians stand in his way. Most of Vice City seems to want Tommy dead. His only answer is to fight back and take over the city himself. Vice City offers vehicular pleasures to suit every taste. For the speed enthusiast, there's high-performance cars and motorbikes. For the sportsman, a powerboat or a golf buggy lets you enjoy the great outdoors. For those that need that sense of freedom and escape, why not charter a helicopter and see the beauty of Vice City from the air? [Rockstar]","<p>Grand Theft Auto: Vice City is a third-person shooter with an open world. The game is set in a fictional city during the 1980’s and exhibits a unique design of locations, people, and objects, resembling the real world’s counterparts of Vice City, mainly Miami, FL. GTA: Vice City is a fourth game of the series, following Grand Theft Auto III.</p>
<p>The main character is introduced as Tommy Vercetti, an Italian-American mobster who works for a wealthy crime family. Throughout the story, the player will observe as the protagonist rises the ranks, sometimes making decisions of questionable nobility or profit. Our goal as a player is to ensure that Vercetti becomes the boss of all of Vice City’s mafia, and various story characters will help us or prevent us from achieving this goal.</p>
<p>The worlds of Grand Theft Auto series have long been worked upon and have been done in much detail, and Vice City is no different. The people on the sidewalks, the stylish cars and neon light clubs, the sky-high buildings and lively piers and beaches, everything will bring nostalgic feelings to those of players, whose eyes have seen the glory of this time. The gameplay, however, bears little difference from its predecessor, continuing the trend of big guns, explosions, and cop chases.</p>",94
The Legend of Zelda: A Link to the Past,Game Boy Advance,#N/A,9,95,"December 3, 2002","Now you have a link to one of the greatest adventures in The Legend of Zelda series.  The Legend of Zelda: A Link to the Past revives the classic SNES game on the Game Boy Advance and adds a new multiplayer mode.  In a Link to the Past, Link travels between the light world and the dark world, conquering fierce monsters and uncovering Hyrule's deepest secrets along the way.  Also included is Four Swords, which lets you play with up to three other players, slashing through dungeons and collecting rupees.  Whether you choose solo or competitive play, The Legend of Zelda will keep you occupied with its brain-bending puzzles and fun swashbuckling action.","<p>Return to an age of magic and heroes! When an evil magician named <br />
      Agahnim begins kidnapping young maidens in Hyrule in a quest to break <br />
      the imprisoning seal on Ganon, a young boy named Link is called upon to <br />
      stop him. Link must venture into twisting mazes, dungeons, palaces and <br />
      shadowy forests as he searches for the maidens and Princess Zelda. <br />
      Traversing both Light and Dark Worlds, he must navigate eight dark <br />
      dungeons, fighting evil enemies and huge bosses. Help our hero prevent <br />
      Ganon and Agahnim from shattering Hyrule forever. Whether you are a <br />
      young knight, a heroine-in-training or a seasoned warrior, The Legend of <br />
      Zelda: A Link to the Past will delight!<br />
    This game is only playable in 2D.This classic game is part of the Virtual Console service, which brings you great games created for consoles such as NES™, Super NES™ and Game Boy™ Advance. See more Virtual Console games for Nintendo 3DS.</p>",95
Madden NFL 2003,PlayStation 2,PS2,7.6,95,"August 12, 2002","Take Your Game Online: Access an online community where you can meet, chat, and play head-to-head against other gamers. Audio Dream Team: Dynamic play-by-play and analysis by Madden and Michaels. All-New Mini-camp: Hop on John Madden's Cruiser Tour Bus and travel to all NFL cities to complete skilled tasks. Create-A-Playbook: Customize receiver routes, player formations, and your team's entire playbook. Deepest Franchise Mode Ever: Play 30 years of Franchise mode and draft players each season with tips from your scouts. [EA Sports]","<p>Madden NFL 2003 is a sports game developed by Electronic Arts Tiburon and Budcat Creations. It came out on 12-08-2002. Electronic Arts published the game. Most rawgers rated the game as ""Meh"". <br>Madden NFL 2003 is available on Xbox, GameCube, Game Boy Advance and PlayStation. </p>

<p></p>",
Tony Hawk's Pro Skater 4,PlayStation 2,PS2,8.3,94,"October 23, 2002","Build your skills, earn respect, and show that you've got what it takes to Go Pro.  190 progressively harder goals. No time clock, no constraints. Pro-specific challenges. Evolving levels. Interact with other skaters. Multi-player modes. Customize your game...Your career is what you make of it. [Activision]","<p>Tony Hawk's Pro Skater 4 is a sports-arcade game developed by Beenox, Vicarious Visions and Neversoft. It was originally released in 2002. It was published by Activision Blizzard. Tony Hawk's Pro Skater 4 has a Metascore of 91, based on professional reviews. Most rawgers rated the game as ""Recommended"". <br>Tony Hawk's Pro Skater 4 is available on Game Boy Advance, PlayStation, Classic Macintosh and PC. </p>

<p></p>",91
Virtua Fighter 4,PlayStation 2,PS2,8,94,"March 17, 2002","Two new characters (Lei Fei and Vanessa Lewis) join 11 VF veterans, each with their own unique styles based on real martial arts. New counters and defensive moves allow players to switch up their stances and fighting styles mid-bout. Train a computer-controlled character through sparring and an easy-to-use rewards system, then pit your character against a friend's or challenge the arcade mode. [Sega]","<p>Virtua Fighter 4 (Japanese: バーチャファイター4 Hepburn: Bācha Faitā Fō) is a fighting game by Sega. It is the fourth game in the Virtua Fighter series.</p>
<p>The game was first released in arcades on the NAOMI 2 board in 2001. A console port of Virtua Fighter 4, as well as that of Virtua Fighter 4: Evolution under the budget-priced &quot;Greatest Hits&quot; label, appeared on the Sony PlayStation 2 in 2002 and 2003, respectively.</p>
<p>In Japan, Virtua Fighter 4 is famous for spearheading and opening the market for internet functionality in arcades. VF.NET started in Japan in 2001, and since companies have created their own arcade networks, e-Amusement by Konami, NESiCAxLive by Taito and Square Enix, and ALL.Net by Sega.</p>",
