Title,Platform,Genre,Publisher,VGScore,CriticScore,UserScore,TotalShipped,AsianSales,NorthAmericaSales,JapanSales,EuropeSales,GlobalSales,ProductionCost,ReleaseYear_v1,Developer,MultipleGenre,MetaScore,AvgUserScore,NoOfPlayers,releasedate_1986-2023,releasedate_VGOutput,releasedate_raw,ReleaseDate,releasedate_link,ReleaseYear,ReleaseMonth,EndOfMonth,ReleaseQuarter,ReleaseWeekDay,ReleaseWeekend,ReleaseWeek
Combat Flight Simulator 2 WWII Pacific Theater,PC,Simulation,Sony Computer Entertainment,8,9,9,50,5.78,1.86,4.31,1.42,13.37,4.75,2000,MicrosoftGameStudios,Simulation;Flight;WWII;WWII;Combat,83,8.1,Mutliplayer,,#N/A,October 13 2000,13/10/2000,https://www.google.com/search?q=Combat Flight Simulator 2 WWII Pacific Theater PC release date,2000,10,No,4,5,Weekday,42
Combat Flight Simulator 3 Battle for Britain,PC,Simulation,Activision,9,10,4,175,6.1,4.03,1.29,5.66,17.08,2.85,2003,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Combat Flight Simulator 3 Battle for Britain PC release date,,,,,,,
Combat Flight Simulator 3 Battle for Europe,PC,Simulation,Electronic Arts,9,10,1,176,3,0.01,2.21,0.01,2.25,1.96,2002,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Combat Flight Simulator 3 Battle for Europe PC release date,,,,,,,
Combat Queen,PS2,Adventure,IBM,3,3,8,189,5.31,3.12,3.48,5.06,16.97,0.02,2002,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Combat Queen PS2 release date,,,,,,,
Combat Wings Battle of Britain,PC,Simulation,Electronic Arts,2,6,3,222,6.67,1.46,3.13,4.16,15.42,2.6,2008,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Combat Wings Battle of Britain PC release date,,,,,,,
Combat Wings The Great Battles of WWII,PS3,Simulation,Amazon Game Studios,6,2,3,99,4.53,3.54,5.89,6.95,20.91,1.32,2012,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Combat Wings The Great Battles of WWII PS3 release date,,,,,,,
Command & Conquer Renegade,PC,Shooter,Electronic Arts,3,8,5,59,5.14,1.61,3.04,2.5,12.29,3.49,2002,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Command & Conquer Renegade PC release date,,,,,,,
Command & Conquer Renegade,PC,Shooter,Electronic Arts,3,6,9,261,3,1.83,4.5,0.01,6.35,2.34,2002,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Command & Conquer Renegade PC release date,,,,,,,
Commando Steel Disaster,DS,Shooter,Sony Computer Entertainment,5,7,8,250,3,0.02,2,5.73,7.77,1.12,2008,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Commando Steel Disaster DS release date,,,,,,,
Commandos Strike Force,PC,Shooter,Ubisoft,4,8,5,276,7.49,2.02,1.44,3.77,14.72,1.95,2006,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Commandos Strike Force PC release date,,,,,,,
Commandos Strike Force,PS2,Shooter,Frontier Developments,10,1,5,147,3,0.03,5.58,0.02,5.69,4.3,2006,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Commandos Strike Force PS2 release date,,,,,,,
Condemned 2 Bloodshot,PS3,Shooter,Ubisoft,6,8.4,3,203,3,0.17,5.11,0.16,5.83,4.25,2008,MonolithProductions,Action Adventure;Horror;Horror;Survival,82,8.1,1 to 8,,#N/A,March 11 2008,11/3/2008,https://www.google.com/search?q=Condemned 2 Bloodshot PS3 release date,2008,3,No,1,2,Weekday,11
Conflict Denied Ops,PC,Shooter,Electronic Arts,1,2,10,93,3,3.95,1.72,0.01,5.69,4.74,2008,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Conflict Denied Ops PC release date,,,,,,,
Conflict Denied Ops,PS3,Shooter,Ubisoft,4,5.2,6,197,3,0.05,4.47,0.1,4.81,3.16,2008,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Conflict Denied Ops PS3 release date,,,,,,,
Conflict Desert Storm,PC,Shooter,Sony Computer Entertainment,5,10,1,124,5.5,3.42,1.81,3.18,13.91,2.16,2002,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Conflict Desert Storm PC release date,,,,,,,
Conflict Desert Storm,PS2,Shooter,Omega,3,4,1,104,1.57,0.98,2.12,0.53,5.2,2.84,2002,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Conflict Desert Storm PS2 release date,,,,,,,
Conflict Desert Storm II  Back to Bagdhad,PC,Shooter,Ubisoft,5,5,8,247,5.18,2.63,3.96,5.83,17.6,4.75,2003,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Conflict Desert Storm II  Back to Bagdhad PC release date,,,,,,,
Conflict Desert Storm II  Back to Bagdhad,PS2,Shooter,Electronic Arts,1,9,2,153,3,0.38,1.99,0.29,3.43,5.08,2003,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Conflict Desert Storm II  Back to Bagdhad PS2 release date,,,,,,,
Conflict Global Terror,PC,Shooter,Frontier Developments,3,10,10,161,5.37,2.75,2.94,6.81,17.87,4.07,2005,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Conflict Global Terror PC release date,,,,,,,
Conflict Global Terror,PS2,Shooter,Frontier Developments,4,9,10,162,3,0.09,3.75,0.07,4.1,4.55,2005,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Conflict Global Terror PS2 release date,,,,,,,
Conflict Vietnam,PC,Shooter,Electronic Arts,9,7,7,194,2.41,1.98,3.12,2.17,9.68,0.01,2004,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Conflict Vietnam PC release date,,,,,,,
Conflict Vietnam,PS2,Shooter,Frontier Developments,3,9,5,126,3,0.26,1.04,0.2,2.03,0.02,2004,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Conflict Vietnam PS2 release date,,,,,,,
Coniclysm,PC,Shooter,IBM,10,6,4,18,1.74,5.27,4.97,5.21,17.19,2.8,2010,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Coniclysm PC release date,,,,,,,
Conspiracy Weapons of Mass Destruction,PC,Shooter,Frontier Developments,7,4,9,248,7.04,3.95,5.75,6.78,23.52,6.78,2005,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Conspiracy Weapons of Mass Destruction PC release date,,,,,,,
Conspiracy Weapons of Mass Destruction,PS2,Shooter,Sony Computer Entertainment,10,10,5,18,7.74,4.52,2.65,4.43,19.34,1.39,2005,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Conspiracy Weapons of Mass Destruction PS2 release date,,,,,,,
Contender 2,PS,Fighting,Activision,3,2,4,77,3,0.31,4.29,0.21,5.36,1.74,2000,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Contender 2 PS release date,,,,,,,
Contra Shattered Soldier,PS2,Shooter,IBM,5,7.3,3,94,3,0.28,5.63,0.22,6.71,1.99,2002,KCET,Action;Shooter;Scrolling,78,6.6,1 to 2,,#N/A,October 22 2002,22/10/2002,https://www.google.com/search?q=Contra Shattered Soldier PS2 release date,2002,10,Yes,4,2,Weekday,43
Contra 4,DS,Shooter,Sony Computer Entertainment,7,8.1,1,136,3,0.28,0.01,5.51,6.1,0.01,2007,WayForward,Action;Platformer;Platformer;2D;2D,83,8.4,1,,#N/A,November 13 2007,13/11/2007,https://www.google.com/search?q=Contra 4 DS release date,2007,11,No,4,2,Weekday,46
Control,PC,Adventure,Ubisoft,8,5,2,163,5.63,1.77,5.81,6.67,19.88,0.01,2019,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Control PC release date,,,,,,,
Control,PS4,Adventure,Sony Computer Entertainment,8,9,7,174,3.92,1.52,5.79,1.27,12.5,5.84,2019,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Control PS4 release date,,,,,,,
Cook Serve & Delicious 2,PC,Simulation,Sony Computer Entertainment,10,4,2,0.11,3.23,7.5,5.64,5.74,22.11,4.29,2017,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Cook Serve & Delicious 2 PC release date,,,,,,,
Cook Serve & Delicious 3,PS4,Simulation,Activision,7,2,6,84,5.17,4.47,1.68,3.64,14.96,4.78,2020,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Cook Serve & Delicious 3 PS4 release date,,,,,,,
Cookie Shop,DS,Simulation,Ubisoft,3,9,4,255,3.96,2.83,3.43,2.1,12.32,3,2009,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Cookie Shop DS release date,,,,,,,
Cooking Academy,PC,Simulation,Omega,2,8,10,12,2.34,3.76,2.86,6.39,15.35,3.4,2008,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Cooking Academy PC release date,,,,,,,
Cooking Dash,PC,Simulation,Amazon Game Studios,8,6,2,78,1.87,2.83,2.57,4.09,11.36,5.5,2008,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Cooking Dash PC release date,,,,,,,
Cooking Idol I My Main Game de Hirameki Kirameki Cooking,DS,Simulation,Sony Computer Entertainment,6,5,8,18,6.6,1.26,3.48,3.17,14.51,2.94,2010,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Cooking Idol I My Main Game de Hirameki Kirameki Cooking DS release date,,,,,,,
Cooking Mama,DS,Simulation,Activision,1,6.6,7,157,5.66,3.09,0.07,1.92,10.74,2.68,2006,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Cooking Mama DS release date,,,,,,,
Cooking Mama CookStar,PS4,Simulation,Sony Computer Entertainment,7,7,7,254,3.65,2.92,5.47,6.31,18.35,5.39,2018,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Cooking Mama CookStar PS4 release date,,,,,,,
Cooking Mama 2 Dinner With Friends,DS,Simulation,Sony Computer Entertainment,8,6.9,3,68,3.58,1.6,0.1,1.49,6.77,6.58,2007,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Cooking Mama 2 Dinner With Friends DS release date,,,,,,,
Cooking Mama 3 Shop & Chop,DS,Simulation,IBM,3,8,5,238,1.69,0.79,0.08,0.66,3.22,6.99,2009,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Cooking Mama 3 Shop & Chop DS release date,,,,,,,
Cool Boarders,PS,Sports,Omega,4,7,9,152,7.96,3.83,1.71,5.82,19.32,2.41,2006,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Cool Boarders PS release date,,,,,,,
Cool Boarders Code Alien,PS2,Sports,Sony Computer Entertainment,5,1,10,119,1.3,6.03,1.76,4.88,13.97,4.71,2000,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Cool Boarders Code Alien PS2 release date,,,,,,,
Cool Boarders 2,PS,Sports,Electronic Arts,9,9,5,216,1.19,5.58,5.93,2.35,15.05,5.96,2009,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Cool Boarders 2 PS release date,,,,,,,
Cool Boarders 2001,PS2,Sports,Activision,10,1,4,38,3,0.16,3.09,0.13,3.71,2.33,2001,IdolMinds,Sports;Alternative;Snowboarding,78,7,1 to 2,,#N/A,October 24 2000,24/10/2000,https://www.google.com/search?q=Cool Boarders 2001 PS2 release date,2000,10,Yes,4,2,Weekday,44
Cool Boarders 2001,PS,Sports,IBM,10,5,8,76,3,0.23,2.05,0.16,2.85,1.62,2000,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Cool Boarders 2001 PS release date,,,,,,,
Cool Boarders 3,PS,Sports,Activision,6,2,2,185,1.84,4.89,3.98,3.79,14.5,1.69,2009,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Cool Boarders 3 PS release date,,,,,,,
Cool Shot,PS2,Sports,Omega,2,8,2,140,2.12,4.5,2.11,4.81,13.54,5.74,2003,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Cool Shot PS2 release date,,,,,,,
Coraline,DS,Adventure,Electronic Arts,10,1,3,24,3,0.04,1.28,4.41,5.77,7.57,2009,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Coraline DS release date,,,,,,,
Coraline,PS2,Adventure,Activision,7,9,9,219,3,0.06,5.23,0.04,5.44,4.55,2009,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Coraline PS2 release date,,,,,,,
Corfu X,PC,Simulation,Activision,6,4,10,177,5.79,4.36,5.96,4.38,20.49,5.12,2011,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Corfu X PC release date,,,,,,,
Coronation Street,DS,Puzzle,Omega,6,1,9,237,5.96,2.59,5.65,1.7,15.9,1.93,2017,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Coronation Street DS release date,,,,,,,
Coropata,DS,Puzzle,Amazon Game Studios,7,3,6,14,7.19,2.88,5.32,3.27,18.66,3.19,2009,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Coropata DS release date,,,,,,,
Corvette,PC,Racing,Omega,4,8,10,40,5.01,6.61,3.05,6.79,21.46,5.06,2003,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Corvette PC release date,,,,,,,
Corvette,PS2,Racing,Activision,9,7,6,23,1.33,0.65,2.37,0.51,4.86,0.03,2004,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Corvette PS2 release date,,,,,,,
Corvette Evolution GT,PS2,Racing,Activision,7,8,7,231,5.76,6.57,3.29,6.73,22.35,2.57,2006,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Corvette Evolution GT PS2 release date,,,,,,,
Corvette Evolution GT,DS,Racing,Sony Computer Entertainment,4,9,2,209,3,0.1,5.87,1.52,7.59,5.91,2008,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Corvette Evolution GT DS release date,,,,,,,
Countdown The Game,DS,Puzzle,Electronic Arts,8,9,2,296,3,1.31,4.24,0.14,5.84,2.65,2009,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Countdown The Game DS release date,,,,,,,
Countdown Vampires,PS,Adventure,Ubisoft,5,5,5,70,3,0.02,5.78,0.01,5.85,4.54,2000,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Countdown Vampires PS release date,,,,,,,
Counter Strike Condition Zero,PC,Shooter,Frontier Developments,1,6.8,3,2.9,3.16,7.92,5.16,1.52,17.76,3.89,2004,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Counter Strike Condition Zero PC release date,,,,,,,
Counter Strike Source,PC,Shooter,Omega,2,9.3,1,15,6.22,1.65,1.58,3.05,12.5,2.56,2004,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Counter Strike Source PC release date,,,,,,,
Counter Strike 1 Anthology,PC,Shooter,Electronic Arts,10,5,5,294,4.06,1.64,2.9,3.73,12.33,5.76,2005,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Counter Strike 1 Anthology PC release date,,,,,,,
Counter Strike Nexon Zombies,PC,Shooter,Electronic Arts,6,9,3,131,6.32,6.04,5.94,1.57,19.87,3.57,2018,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Counter Strike Nexon Zombies PC release date,,,,,,,
Counter Terrorist Special Forces Fire for Effect,PS2,Shooter,Ubisoft,7,7,7,83,7.45,3.85,4.19,5.86,21.35,5.59,2005,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Counter Terrorist Special Forces Fire for Effect PS2 release date,,,,,,,
Cradle of Persia,PC,Puzzle,Sony Computer Entertainment,4,5,5,34,5.9,3.33,5.63,2.31,17.17,1.64,2007,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Cradle of Persia PC release date,,,,,,,
Cradle of Rome,PC,Puzzle,Sony Computer Entertainment,3,5,10,266,2.29,1.37,2.26,2.59,8.51,1.5,2007,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Cradle of Rome PC release date,,,,,,,
Cradle of Rome,DS,Puzzle,Frontier Developments,8,5,1,195,3,0.05,2.56,0.16,3.01,1.84,2008,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Cradle of Rome DS release date,,,,,,,
Crafting Mama,DS,Simulation,Ubisoft,9,6,6,206,3,0.39,0.01,0.2,1.25,2.71,2010,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Crafting Mama DS release date,,,,,,,
Crane Simulator 2009,PC,Simulation,Ubisoft,2,4,1,194,4.04,7.91,5.21,2.7,19.86,1.72,2005,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Crane Simulator 2009 PC release date,,,,,,,
Crash Commando,PS,Shooter,Amazon Game Studios,10,7.8,6,2,3.78,2.23,4.02,5.04,15.07,1.62,2008,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Crash Commando PS release date,,,,,,,
Crash N Burn,PS2,Racing,Omega,6,6,4,296,3,0.11,4.09,0.08,4.49,3.8,2004,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Crash N Burn PS2 release date,,,,,,,
Crash Nitro Kart,PS2,Racing,Ubisoft,6,4,1,197,1.95,0.74,4.59,1.01,8.29,5.34,2003,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Crash Nitro Kart PS2 release date,,,,,,,
Crash Tag Team Racing,PS,Racing,Activision,10,9,2,44,1.93,1.56,3.49,2.14,9.12,1.5,2009,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Crash Tag Team Racing PS release date,,,,,,,
Crash Tag Team Racing,PS2,Racing,Frontier Developments,4,3,1,111,3,0.27,5.11,0.21,6.13,5.76,2005,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Crash Tag Team Racing PS2 release date,,,,,,,
Crash Time,PC,Racing,Electronic Arts,6,9,6,205,3.7,4.39,5.05,1.31,14.45,1.13,2007,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Crash Time PC release date,,,,,,,
Crash Time 4 The Syndicate,PC,Racing,Activision,10,2,9,8,3.77,3.65,4,6.4,17.82,2.64,2010,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Crash Time 4 The Syndicate PC release date,,,,,,,
Crash Time II,PC,Racing,Activision,5,6,2,129,2.59,4.42,1.26,6.78,15.05,4.66,2009,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Crash Time II PC release date,,,,,,,
Crash Time III,PC,Racing,IBM,2,7,3,247,5.28,3.88,1.71,5.5,16.37,2.85,2009,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Crash Time III PC release date,,,,,,,
CrashDay,PC,Racing,Frontier Developments,7,4,5,153,7.21,3.64,3.93,5.15,19.93,5.64,2006,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=CrashDay PC release date,,,,,,,
Crashed,PS2,Racing,Frontier Developments,10,10,9,105,3.73,2.03,2.75,5.09,13.6,3,2002,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Crashed PS2 release date,,,,,,,
Crasher,PC,Racing,Omega,6,4,9,267,6.85,1.88,1.24,5.01,14.98,1.19,2011,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Crasher PC release date,,,,,,,
Crayola Treasure Adventures,DS,Puzzle,Ubisoft,2,9,3,78,3,0.42,3.37,0.01,4.26,4.07,2007,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Crayola Treasure Adventures DS release date,,,,,,,
Crayola Scoot,PS4,Sports,Amazon Game Studios,7,6,4,137,3,0.01,4.8,3.88,8.71,7.57,2018,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Crayola Scoot PS4 release date,,,,,,,
Crayon Physics Deluxe,PC,Puzzle,Ubisoft,5,7.5,9,9,3.01,1.78,3.54,2.97,11.3,2.73,2009,PetriPurho,Miscellaneous;Puzzle;Puzzle;General;Puzzle;General,79,7.6,1,,#N/A,January 7 2009,7/1/2009,https://www.google.com/search?q=Crayon Physics Deluxe PC release date,2009,1,No,1,3,Weekday,2
Crazy Chicken Pharaohs Treasure,DS,Puzzle,IBM,8,2,1,148,3,0.05,5.52,1.31,6.94,6.94,2009,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Crazy Chicken Pharaohs Treasure DS release date,,,,,,,
Crazy Chicken Star Karts,DS,Racing,Ubisoft,10,3,8,193,3,0.03,2.44,1.27,3.77,1.08,2009,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Crazy Chicken Star Karts DS release date,,,,,,,
Crazy Frog Racer,PC,Racing,Ubisoft,3,8,9,199,7.64,6.84,2.56,6.72,23.76,1.68,2005,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Crazy Frog Racer PC release date,,,,,,,
Crazy Frog Racer,DS,Racing,Activision,7,1,10,283,6.33,3.59,1.15,4.47,15.54,1.84,2006,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Crazy Frog Racer DS release date,,,,,,,
Crazy Golf,PS2,Sports,Electronic Arts,1,5,7,16,4.22,3.62,2.06,5.01,14.91,1.24,2005,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Crazy Golf PS2 release date,,,,,,,
Crazy Machines,DS,Puzzle,Sony Computer Entertainment,2,9,3,108,3,4.56,2.24,0.03,6.86,3.28,2008,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Crazy Machines DS release date,,,,,,,
Crazy Machines 2,PC,Puzzle,Activision,9,4,10,5,7.75,5.72,1.45,2.25,17.17,3.11,2008,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Crazy Machines 2 PC release date,,,,,,,
Crazy Machines 2,DS,Puzzle,Ubisoft,6,7,8,241,2.41,2.1,1.56,2.11,8.18,3.14,2009,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Crazy Machines 2 DS release date,,,,,,,
Crazy Machines 2 Liquid Force,PC,Puzzle,Sony Computer Entertainment,3,1,4,251,2.88,3.47,1.23,3.94,11.52,3.32,2009,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Crazy Machines 2 Liquid Force PC release date,,,,,,,
Crazy Machines Complete,PC,Puzzle,Ubisoft,3,9,3,59,3.74,2.72,3.78,1.48,11.72,1.97,2009,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Crazy Machines Complete PC release date,,,,,,,
Crazy Machines Elements,PC,Puzzle,Activision,8,3,10,60,2.89,7.47,4.75,5.87,20.98,2.05,2015,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Crazy Machines Elements PC release date,,,,,,,
Crazy Machines Elements,PS,Puzzle,Activision,1,9,10,112,6.28,1.94,1.12,3.78,13.12,5.05,2007,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Crazy Machines Elements PS release date,,,,,,,
Crazy Pig,DS,Simulation,Frontier Developments,4,10,5,22,7.51,4.7,3.19,2.07,17.47,4.56,2007,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Crazy Pig DS release date,,,,,,,
Crazy School Games,DS,Puzzle,Electronic Arts,3,2,7,93,4.23,1.69,5.48,1.3,12.7,6.38,2009,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Crazy School Games DS release date,,,,,,,
Crazy Taxi,PC,Racing,Activision,3,5,8,172,6.61,1.85,2.19,3.05,13.7,4.82,2002,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Crazy Taxi PC release date,,,,,,,
Crazy Taxi,PS2,Racing,Activision,5,8.2,2,120,2.52,1.13,0.06,1.12,4.83,3.76,2001,AcclaimStudiosCheltenham,Driving;Racing;Arcade,80,7.8,1,,#N/A,May 28 2001,28/5/2001,https://www.google.com/search?q=Crazy Taxi PS2 release date,2001,5,Yes,2,1,Weekday,22
Crazy Taxi Fare Wars,PS,Racing,Frontier Developments,7,6.3,4,259,5.14,7.74,2.1,5.06,20.04,5.72,2009,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Crazy Taxi Fare Wars PS release date,,,,,,,
